agreement,543
morn,542
My,540
realli,540
here,540
agre,535
other,533
just,530
posit,530
parti,529
base,520
how,519
risk,518
togeth,514
fyi,513
sign,513
term,509
that,508
steve,506
anoth,506
import,502
high,502
understand,499
michael,498
suggest,497
present,497
final,494
someth,489
project,489
california,483
concern,483
bill,481
mani,481
basi,481
problem,480
distribut,479
per,476
they,474
home,473
due,471
approv,471
rick,470
pay,470
assist,470
everyon,470
rate,469
appreci,468
alreadi,467
close,464
develop,464
scott,463
show,462
util,462
hear,461
anyon,461
updat,460
done,460
expect,458
long,455
will,454
night,453
whether,451
part,448
either,447
better,447
yet,447
locat,445
run,444
leav,444
littl,440
sever,437
confidenti,436
confirm,436
ca,435
buy,432
august,432
contain,432
open,431
all,431
intend,429
draft,429
differ,428
Hi,428
Is,425
employe,424
effect,424
To,424
jame,423
respond,423
decemb,422
author,420
account,419
propos,418
idea,416
love,416
sorri,415
case,414
futur,413
chri,412
No,410
hour,409
mail,409
accept,408
opportun,408
return,407
and,407
reason,407
resourc,402
someon,401
tell,401
given,400
effort,400
jim,400
decis,399
access,398
job,398
later,398
weekend,398
consid,395
repli,394
info,391
els,389
recent,388
within,388
seem,388
So,388
must,387
assum,387
march,385
januari,384
book,383
valu,381
your,381
left,378
told,377
confer,376
begin,376
mari,374
without,371
texa,370
but,369
robert,368
three,367
unit,366
line,366
purchas,365
actual,365
lot,363
particip,363
game,362
sell,362
hey,360
share,358
total,357
yesterday,356
result,356
mean,354
transact,353
short,352
amount,350
richard,350
sound,349
allow,349
etc,347
materi,347
increas,346
program,343
document,343
cover,342
are,342
data,341
option,341
have,340
On,340
past,340
execut,340
hold,338
when,338
daren,338
relat,337
prior,337
specif,336
brian,335
sale,335
otherwis,334
larri,333
afternoon,333
activ,332
prepar,332
bob,331
intern,329
februari,328
happi,326
head,326
electr,325
credit,325
financi,325
global,324
join,321
june,320
level,320
patti,320
read,320
though,320
pass,319
view,319
associ,314
care,314
everi,313
ye,311
necessari,311
happen,310
mention,310
form,309
letter,308
bring,308
volum,307
privileg,305
event,305
room,305
add,304
area,304
earli,304
money,303
control,302
appropri,301
dinner,301
cash,301
director,301
she,299
delet,299
never,299
desk,299
fine,299
reach,298
with,298
indic,298
least,297
coupl,297
determin,295
invit,295
involv,295
william,295
firm,294
answer,294
period,294
chanc,294
joe,294
less,293
industri,292
kevin,291
miss,291
play,290
public,290
late,290
charg,290
prohibit,290
big,289
stay,287
immedi,286
commiss,286
sole,285
fact,285
susan,284
saturday,283
cours,282
build,282
post,282
action,281
staff,279
side,279
far,277
recipi,277
initi,276
ticket,275
type,275
notic,274
At,274
second,274
potenti,273
commerci,273
legal,273
arrang,273
greg,272
lead,272
tom,272
natur,272
sender,271
paul,271
georg,271
correct,271
bass,271
flow,270
decid,269
pretti,268
repres,268
expens,268
folk,267
role,267
mayb,265
presid,265
full,265
minut,265
hard,264
heard,264
corpor,264
sunday,263
appear,262
vacat,261
enough,261
pick,261
daili,261
disclosur,260
properti,260
west,259
depart,259
lisa,259
april,259
recommend,259
not,257
ad,257
handl,257
affili,256
key,255
coordin,254
organ,254
perform,254
calendar,253
ensur,253
wait,253
lunch,253
administr,252
london,252
remain,251
submit,251
individu,250
jennif,250
applic,250
member,249
held,249
suppli,249
did,248
structur,247
dan,247
street,247
real,247
cell,247
reserv,246
directli,246
gari,246
item,246
capac,245
turn,245
larg,245
alway,245
san,244
million,243
advis,243
along,243
enjoy,243
By,242
demand,242
went,241
earlier,241
capit,241
karen,240
mind,240
shelley,240
statu,240
davi,239
wonder,239
hous,239
strictli,238
relev,238
nice,238
pm,238
everyth,238
visit,237
experi,237
major,237
deliv,236
suit,236
success,235
tonight,235
via,235
write,235
small,235
rather,235
analyst,235
our,234
except,233
refer,233
clear,233
matter,233
memo,233
paid,232
although,231
evid,231
plant,230
produc,230
word,229
smith,225
friend,225
record,225
respect,222
kim,222
sue,222
guess,222
ago,222
revis,221
enforc,221
speak,220
reli,220
payment,219
convers,219
tim,219
secur,219
law,219
rememb,219
after,218
these,218
frank,218
jason,218
version,217
fun,217
upon,216
estim,216
trip,216
jeffrey,216
school,215
commit,214
harri,214
kay,214
readi,214
exist,213
financ,213
wish,212
top,211
subject,211
board,210
becom,209
prefer,209
limit,209
famili,208
rule,208
edison,208
hand,208
implement,208
trader,207
found,206
summer,206
site,206
accord,206
took,206
negoti,206
taken,205
longer,205
thoma,205
white,205
wholesal,204
net,203
pipelin,202
strategi,201
serv,201
brent,200
bind,200
glad,200
kind,200
settlement,200
releas,199
CA,198
fund,198
drop,198
analysi,198
announc,198
page,197
benefit,196
fee,196
seen,196
session,196
advanc,195
senior,194
purpos,194
transport,194
enter,194
across,193
bid,193
ever,193
revenu,193
reduc,193
special,192
jan,192
invest,192
US,192
test,191
approach,191
rob,191
sens,190
staci,190
asset,189
