thank,28084
PM,26606
cc,26401
pleas,26137
AM,21888
sent,20640
forward,20230
know,19899
messag,19371
would,17088
the,16687
let,16310
get,15270
need,14902
2001,14885
If,13889
We,13172
call,13146
time,12457
like,12387
work,11619
go,11514
attach,11319
may,11225
thi,10884
want,10794
see,10609
one,10280
also,10083
look,9850
think,9727
question,9202
make,9200
use,9118
fax,8738
could,8692
new,8600
inform,8593
meet,8417
week,8295
regard,8270
day,8264
It,8148
receiv,8096
chang,7912
phone,7848
take,7821
us,7766
follow,7743
send,7614
houston,7557
discuss,7548
review,7354
deal,7336
good,7240
monday,7008
friday,6991
last,6957
today,6912
help,6893
back,6883
copi,6636
contact,6608
america,6530
corp,6515
you,6444
north,6441
email,6389
give,6356
well,6337
agreement,6324
file,6282
trade,6272
...,6270
issu,6270
next,6208
thursday,6135
hope,6047
john,5978
talk,5960
In,5953
mark,5951
number,5946
tuesday,5931
wednesday,5927
contract,5862
group,5829
ask,5788
schedul,5739
sure,5694
market,5672
offic,5661
includ,5641
ga,5608
provid,5547
still,5527
tri,5462
come,5376
As,5340
legal,5305
